"filename", "language", "Python", "Solidity", "YAML", "comment", "blank", "total"
"c:\Web3-projects\lending-borrowing\brownie-config.yaml", "YAML", 0, 0, 19, 0, 2, 21
"c:\Web3-projects\lending-borrowing\contracts\Pool.sol", "Solidity", 0, 34, 0, 1, 11, 46
"c:\Web3-projects\lending-borrowing\contracts\PoolConfiguration.sol", "Solidity", 0, 28, 0, 1, 10, 39
"c:\Web3-projects\lending-borrowing\contracts\PoolLogic.sol", "Solidity", 0, 32, 0, 1, 10, 43
"c:\Web3-projects\lending-borrowing\contracts\PriceOracle.sol", "Solidity", 0, 19, 0, 1, 5, 25
"c:\Web3-projects\lending-borrowing\contracts\ReservesManager.sol", "Solidity", 0, 24, 0, 1, 6, 31
"c:\Web3-projects\lending-borrowing\contracts\mocks\MockV3Aggregator.sol", "Solidity", 0, 80, 0, 11, 12, 103
"c:\Web3-projects\lending-borrowing\contracts\mocks\tokens\LinkTokenMock.sol", "Solidity", 0, 44, 0, 24, 10, 78
"c:\Web3-projects\lending-borrowing\contracts\mocks\tokens\MockDai.sol", "Solidity", 0, 7, 0, 0, 3, 10
"c:\Web3-projects\lending-borrowing\contracts\tokenization\XToken.sol", "Solidity", 0, 32, 0, 1, 6, 39
"c:\Web3-projects\lending-borrowing\interfaces\IXToken.sol", "Solidity", 0, 8, 0, 1, 4, 13
"c:\Web3-projects\lending-borrowing\scripts\deploy.py", "Python", 12, 0, 0, 0, 5, 17
"c:\Web3-projects\lending-borrowing\scripts\utils.py", "Python", 12, 0, 0, 0, 4, 16
"c:\Web3-projects\lending-borrowing\tests\conftest.py", "Python", 33, 0, 0, 0, 12, 45
"c:\Web3-projects\lending-borrowing\tests\unit\test_pool.py", "Python", 60, 0, 0, 12, 17, 89
"c:\Web3-projects\lending-borrowing\tests\unit\test_pool_configuration.py", "Python", 38, 0, 0, 8, 15, 61
"c:\Web3-projects\lending-borrowing\tests\unit\test_price_oracle.py", "Python", 12, 0, 0, 2, 4, 18
"c:\Web3-projects\lending-borrowing\tests\unit\test_reserves_manager.py", "Python", 22, 0, 0, 5, 10, 37
"c:\Web3-projects\lending-borrowing\tests\unit\test_xtoken.py", "Python", 34, 0, 0, 11, 18, 63
"Total", "-", 223, 308, 19, 80, 164, 794